Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Group,Population,X,Y,Latitude,Longitude,Elevation (m),Temperature,Temperature likeness,Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,Emblem,Preview link
517,Kuraririka,Kokura,Kokura Province,Yugure,Empire of Yugure,Shin,Pelor,towns,3555,1003.83,381.78,-9.88,83.94,289,26°C,Jakarta (Indonesia),,,,,plaza,,,{t1:sable;ordinaries:[{ordinary:bordure;t:argent}];charges:[{charge:pique;t:or;p:e;size:1.1}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Kuraririka&population=3555&size=21&seed=8820546000517&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
518,Rishinoto,Kokura,Kokura Province,Yugure,Empire of Yugure,Shin,Pelor,towns,1116,989.27,392.3,-12.64,80.13,100,27°C,Mogadishu (Somalia),,,,,,,,{t1:argent;division:{division:perPale;t:gules;line:straight};charges:[{charge:peacock;t:azure;p:jl;t2:azure;t3:azure;divided:counter;size:0.7}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Rishinoto&population=1116&size=14&seed=8820546000518&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
519,Kiga,Kokura,Kokura Province,Yugure,Empire of Yugure,Shin,Pelor,towns,419,971.07,380.77,-9.62,75.37,289,26°C,Jakarta (Indonesia),,,citadel,,,,,{t1:or;charges:[{charge:scorpion;t:sable;p:e;size:1.5}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Kiga&population=419&size=9&seed=8820546000519&river=0&coast=0&farms=0&citadel=1&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
520,Sawagi,Kokura,Kokura Province,Yugure,Empire of Yugure,Shin,Pelor,towns,12343,966.42,355.5,-3.01,74.15,121,28°C,Bangkok (Thailand),,,,,,,,{t1:azure;division:{division:perPale;t:or;line:straight};charges:[{charge:fusil;t:argent;p:p;size:0.7};{charge:inescutcheon;t:purpure;p:q;size:0.7}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Sawagi&population=12343&size=34&seed=8820546000520&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
521,Yomiojonai,Kokura,Kokura Province,Yugure,Empire of Yugure,Shin,Pelor,towns,746,985.43,375.31,-8.19,79.13,576,24°C,Dakar (Senegal),,,,,,,,{t1:gules;ordinaries:[{ordinary:pallReversed;t:or}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Yomiojonai&population=746&size=12&seed=8820546000521&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
522,Kyohototo,Kokura,Kokura Province,Yugure,Empire of Yugure,Shin,Pelor,towns,3633,983,359.34,-4.01,78.49,676,25°C,Miami (USA),,,,,,,,{t1:argent;division:{division:perPale;t:azure;line:straight};charges:[{charge:inescutcheon;t:sable;p:e;size:1.5};{charge:sickle;t:or;p:e;size:0.75}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Kyohototo&population=3633&size=21&seed=8820546000522&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
523,Gotokuri,Kobe,Kobe Prefecture,Yugure,Empire of Yugure,Shin,Pelor,towns,3091,744.24,267.56,20,16.02,289,22°C,Guangzhou (China),,,,,plaza,,,{t1:gules;charges:[{charge:scaleImbalanced;t:argent;p:e;t2:argent;size:1.5}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Gotokuri&population=3091&size=20&seed=8820546000523&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
524,Nanpoku,Kobe,Kobe Prefecture,Yugure,Empire of Yugure,Shin,No religion,towns,1531,742.09,303.11,10.7,15.46,1089,21°C,Tegucigalpa (Honduras),,,,,,,,{t1:argent;charges:[{charge:tree;t:gules;p:e;size:1.5}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Nanpoku&population=1531&size=15&seed=8820546000524&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
525,Tachan,Kobe,Kobe Prefecture,Yugure,Empire of Yugure,Shin,Pelor,towns,1222,739.33,253.15,23.77,14.74,81,21°C,Tegucigalpa (Honduras),,,citadel,,plaza,,,{t1:vert;ordinaries:[{ordinary:terrace;t:argent;line:wavy}];charges:[{charge:wolfHeadErased;t:argent;p:bdf;t2:or;size:0.5}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Tachan&population=1222&size=14&seed=8820546000525&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
526,Asayawawa,Tokani,Tokani Prefecture,Yugure,Empire of Yugure,Shin,Pelor,towns,7297,819.55,214.73,33.82,35.73,225,14°C,Washington (D.C.),,,,,,,,{t1:vert;division:{division:perSaltire;t:argent};charges:[{charge:fan;t:or;p:b;t2:or;size:0.5};{charge:crossSantiago;t:gules;p:d;size:0.5};{charge:hook;t:vert;p:f;size:0.5};{charge:lionPassant;t:argent;p:h;size:0.5}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Asayawawa&population=7297&size=27&seed=8820546000526&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=1&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
527,Chogisui,Tokani,Tokani Prefecture,Yugure,Empire of Yugure,Shin,Pelor,towns,7229,830.47,213.31,34.19,38.58,529,12°C,Paris (France),,,citadel,,,,,{t1:gules;ordinaries:[{ordinary:fess;t:or;line:straight}];charges:[{charge:crossFleury;t:vert;p:def;size:0.5}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Chogisui&population=7229&size=27&seed=8820546000527&river=0&coast=0&farms=0&citadel=1&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
528,Yonohe,Tokani,Tokani Prefecture,Yugure,Empire of Yugure,Shin,Pelor,towns,5371,833.71,203.61,36.73,39.43,676,6°C,Stockholm (Sweden),,,,,plaza,,,{t1:vert;charges:[{charge:horseRampant;t:argent;p:e;t2:argent;t3:or;size:1.5}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Yonohe&population=5371&size=24&seed=8820546000528&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
529,Hase,Tokani,Tokani Prefecture,Yugure,Empire of Yugure,Shin,Pelor,towns,2643,847.86,203.61,36.73,43.13,2116,0°C,Murmansk (Russia),,,,,plaza,,,{t1:azure;charges:[{charge:wolfHeadErased;t:argent;p:e;t2:argent;size:1.5}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Hase&population=2643&size=19&seed=8820546000529&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
530,Tamiwama,Tokani,Tokani Prefecture,Yugure,Empire of Yugure,Shin,Pelor,towns,553,829.06,184.4,41.76,38.22,841,2°C,Anchorage (Alaska),,,,,plaza,,,{t1:gules;division:{division:perChevron;t:pappellony2-argent-sable-big;line:straight};charges:[{charge:eagle;t:or;p:dfk;t2:or;t3:or;size:0.5}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Tamiwama&population=553&size=10&seed=8820546000530&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=1&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
531,Totorirasu,Nisho,Korika Province,Yugure,Empire of Yugure,Shin,Pelor,towns,8000,801.96,269.32,19.54,31.12,196,23°C,Rio de Janeiro (Brazil),,,,walls,,,,{t1:or;division:{division:perCross;t:gules;line:straight};charges:[{charge:bow;t:azure;p:e;divided:counter;size:1.5}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Totorirasu&population=8000&size=28&seed=8820546000531&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
532,Mibiya,Nisho,Korika Province,Yugure,Empire of Yugure,Shin,Pelor,towns,10735,814.1,264.27,20.86,34.3,81,23°C,Rio de Janeiro (Brazil),,,,,,,,{t1:azure;division:{division:perChevron;t:argent;line:engrailed};charges:[{charge:cavalier;t:or;p:bdefh;t2:or;t3:or;divided:counter;size:0.4}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Mibiya&population=10735&size=32&seed=8820546000532&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
533,Toka,Nisho,Korika Province,Yugure,Empire of Yugure,Shin,Pelor,towns,5531,806.41,255.57,23.14,32.29,324,20°C,Alexandria (Egypt),,,,,plaza,,,{t1:or;ordinaries:[{ordinary:cross;t:vert;line:straight}];charges:[{charge:bow;t:gules;p:acgi;size:0.5}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Toka&population=5531&size=25&seed=8820546000533&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
534,Ibetsumi,Nisho,Korika Province,Yugure,Empire of Yugure,Shin,Pelor,towns,5681,800.14,260.02,21.97,30.65,361,22°C,Guangzhou (China),,,,,,,,{t1:or;division:{division:perPale;t:azure;line:straight};charges:[{charge:horseRampant;t:gules;p:p;t2:gules;t3:sable;size:0.7};{charge:drawingCompass;t:argent;p:q;size:0.7}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Ibetsumi&population=5681&size=25&seed=8820546000534&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=1&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
535,Kigagaiji,Nisho,Korika Province,Yugure,Empire of Yugure,Shin,Pelor,towns,1751,813.49,252.14,24.03,34.14,400,18°C,Barcelona (Spain),,,,walls,plaza,,,{t1:argent;charges:[{charge:pique;t:gules;p:e;size:1.5}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Kigagaiji&population=1751&size=16&seed=8820546000535&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=1&shantytown=0&style=natural
536,Teshi,Shiranaizu,Kawaseko Province,Yugure,Empire of Yugure,Shin,Pelor,towns,6558,839.17,249.51,24.72,40.86,625,17°C,Lisbon (Portugal),,,,,plaza,,,{t1:argent;charges:[{charge:pique;t:azure;p:abc;size:0.5}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Teshi&population=6558&size=26&seed=8820546000536&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
537,Nishi,Shiranaizu,Kawaseko Province,Yugure,Empire of Yugure,Shin,Pelor,towns,1097,849.89,275.39,17.95,43.67,36,24°C,Dakar (Senegal),,,,,plaza,,,{t1:or;division:{division:chevronny;t:azure};charges:[{charge:crossTemplar;t:gules;p:abc;divided:counter;size:0.5}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Nishi&population=1097&size=13&seed=8820546000537&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
538,Tsuhogane,Shiranaizu,Kawaseko Province,Yugure,Empire of Yugure,Shin,Pelor,towns,1694,843.01,280.04,16.73,41.86,196,26°C,Jakarta (Indonesia),,,,,plaza,,,{t1:argent;charges:[{charge:oak;t:gules;p:e;t2:gules;t3:gules;size:1.5}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Tsuhogane&population=1694&size=16&seed=8820546000538&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
539,Iya,Shiranaizu,Kawaseko Province,Yugure,Empire of Yugure,Shin,Pelor,towns,2806,857.57,279.64,16.84,45.67,289,25°C,Miami (USA),,,,walls,plaza,,,{t1:purpure;charges:[{charge:lizard;t:argent;p:jln;size:0.7}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Iya&population=2806&size=19&seed=8820546000539&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=1&shantytown=0&style=natural
540,Aima,Shiranaizu,Kawaseko Province,Yugure,Empire of Yugure,Shin,Pelor,towns,2863,852.31,264.07,20.91,44.3,196,21°C,Tegucigalpa (Honduras),,,,,plaza,,,{t1:or;division:{division:perBend;t:azure;line:seaWaves};charges:[{charge:laurelWreath;t:gules;p:lm;t2:gules;divided:counter;size:0.7}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Aima&population=2863&size=19&seed=8820546000540&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
541,Tsubaka,Shiranaizu,Kawaseko Province,Yugure,Empire of Yugure,Shin,Pelor,towns,833,850.09,237.38,27.89,43.72,1024,11°C,Antwerp (Belgium),,,,,,,,{t1:argent;charges:[{charge:fan;t:vert;p:e;t2:purpure;size:1.5}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Tsubaka&population=833&size=12&seed=8820546000541&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=1&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
542,Fuchume,Tokani,Tokani Prefecture,Yugure,Empire of Yugure,Shin,Pelor,towns,1953,810.46,223.63,31.49,33.35,225,15°C,Rome (Italy),,,,,plaza,,,{t1:vairAncien-purpure-argent;charges:[{charge:crossFleury;t:or;p:e;size:1.5}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Fuchume&population=1953&size=17&seed=8820546000542&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
543,Hofnnogar,Lenes,Lenes Province,Varkeldov,Varkeldov Kingdom,Ulvshofn,Mystra,cities,896,468.1883850097656,481.04974365234375,-35.86,-56.2,324,16°C,Dubrovnik (Croatia),,,,,,,,{t1:argent;division:{division:perSaltire;t:vert};charges:[{charge:horseSalient;t:sable;p:bhdf;t2:sable;divided:counter;size:0.5}];shield:spanish},https://watabou.github.io/city-generator/?name=Hofnnogar&population=896&size=13&seed=8820546000543&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
544,Mordal,Lenes,Lenes Province,Varkeldov,Varkeldov Kingdom,Ulvshofn,Mystra,cities,866,461.1711730957031,493.94622802734375,-39.23,-58.04,484,12°C,Paris (France),,,,,,,,{t1:purpure;ordinaries:[{ordinary:gore;t:or}];charges:[{charge:annulet;t:argent;p:jln;size:0.7}];shield:spanish},https://watabou.github.io/city-generator/?name=Mordal&population=866&size=12&seed=8820546000544&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
545,Halsovi,Lenes,Lenes Province,Varkeldov,Varkeldov Kingdom,Ulvshofn,Mystra,cities,15566,450.550537109375,500.39447021484375,-40.92,-60.82,361,13°C,Milan (Italy),,,,,,,,{t1:or;ordinaries:[{ordinary:bordure;t:purpure}];charges:[{charge:mullet6;t:or;p:ABCDEFGHIJKL;t2:or;size:0.18};{charge:drakkar;t:gules;p:e;size:1.1}];shield:spanish},https://watabou.github.io/city-generator/?name=Halsovi&population=15566&size=37&seed=8820546000545&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
546,Jarkjahver,Lenes,Lenes Province,Varkeldov,Varkeldov Kingdom,Ulvshofn,Mystra,cities,812,465.34356689453125,511.0151062011719,-43.7,-56.95,225,11°C,Antwerp (Belgium),,,,,,,,{t1:azure;charges:[{charge:fleurDeLis;t:or;p:e;size:1.5}];shield:spanish},https://watabou.github.io/city-generator/?name=Jarkjahver&population=812&size=12&seed=8820546000546&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
547,Naurstatey,Lenes,Lenes Province,Varkeldov,Varkeldov Kingdom,Ulvshofn,Mystra,cities,813,487.5331115722656,513.2909545898438,-44.29,-51.14,484,9°C,Copenhagen (Denmark),,,citadel,,,,,{t1:gules;division:{division:perPale;t:or;line:embattledGrady};charges:[{charge:armEmbowedHoldingSabre;t:argent;p:p;t2:argent;t3:argent;size:0.7};{charge:pineCone;t:azure;p:q;size:0.7}];shield:spanish},https://watabou.github.io/city-generator/?name=Naurstatey&population=813&size=12&seed=8820546000547&river=0&coast=0&farms=0&citadel=1&urban_castle=0&hub=1&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
548,Dragil,Lenes,Lenes Province,Varkeldov,Varkeldov Kingdom,Ulvshofn,Mystra,cities,986,486.7745056152344,493.5669250488281,-39.13,-51.34,676,13°C,Milan (Italy),,,,,,,,{t1:purpure;division:{division:perSaltire;t:argent};charges:[{charge:skeleton;t:or;p:b;size:0.5};{charge:butterfly;t:sable;p:d;size:0.5};{charge:crossSaltire;t:gules;p:f;size:0.5};{charge:wheel;t:or;p:h;size:0.5}];shield:spanish},https://watabou.github.io/city-generator/?name=Dragil&population=986&size=13&seed=8820546000548&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
549,Gokerna,Hvolsda,Hvolsda Province,Varkeldov,Varkeldov Kingdom,Ulvshofn,Mystra,cities,3992,513.7053833007812,499.25653076171875,-40.62,-44.29,529,12°C,Paris (France),,,,,,,,{t1:or;division:{division:perCross;t:sable;line:straight};charges:[{charge:bowWithThreeArrows;t:vert;p:jlmo;t2:vert;t3:vert;divided:counter;size:0.6}];shield:spanish},https://watabou.github.io/city-generator/?name=Gokerna&population=3992&size=22&seed=8820546000549&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
550,Beisfrost,Hvolsda,Hvolsda Province,Varkeldov,Varkeldov Kingdom,Ulvshofn,Mystra,cities,5545,529.8259887695312,487.8772888183594,-37.64,-40.08,784,12°C,Paris (France),,,,,,,,{t1:argent;charges:[{charge:chain;t:gules;p:e;size:1.5}];shield:spanish},https://watabou.github.io/city-generator/?name=Beisfrost&population=5545&size=25&seed=8820546000550&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
551,Strandopa,Hvolsda,Hvolsda Province,Varkeldov,Varkeldov Kingdom,Ulvshofn,Mystra,cities,1954,543.8604125976562,500.2048034667969,-40.87,-36.4,289,13°C,Milan (Italy),,,,walls,,,,{t1:argent;division:{division:perFess;t:vert;line:straight};charges:[{charge:bookClosed;t:azure;p:k;t2:azure;t3:sable;size:0.7};{charge:garb;t:or;p:n;size:0.7}];shield:spanish},https://watabou.github.io/city-generator/?name=Strandopa&population=1954&size=17&seed=8820546000551&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
552,Hvolstad,Hvolsda,Hvolsda Province,Varkeldov,Varkeldov Kingdom,Ulvshofn,Mystra,cities,2067,556.3776245117188,514.6185302734375,-44.64,-33.13,729,8°C,Prague (Czechia),,,,,,,,{t1:azure;charges:[{charge:bow;t:argent;p:e;size:1.5}];shield:spanish},https://watabou.github.io/city-generator/?name=Hvolstad&population=2067&size=17&seed=8820546000552&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
553,Botstodoy,Hvolsda,Hvolsda Province,Varkeldov,Varkeldov Kingdom,Ulvshofn,Mystra,cities,1199,551.0672607421875,525.6184692382812,-47.52,-34.52,2025,-2°C,Fairbanks (Alaska),,,,,,,,{t1:or;ordinaries:[{ordinary:piles;t:purpure}];charges:[{charge:cock;t:gules;p:jln;t2:gules;t3:gules;size:0.7}];shield:spanish},https://watabou.github.io/city-generator/?name=Botstodoy&population=1199&size=14&seed=8820546000553&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
554,Laudirnes,Hvolsda,Hvolsda Province,Varkeldov,Varkeldov Kingdom,Ulvshofn,Mystra,cities,1415,523.9467163085938,517.0840454101562,-45.28,-41.61,441,9°C,Copenhagen (Denmark),,,,,,,,{t1:pally-argent-gules;division:{division:perFess;t:counterPotent-or-purpure;line:straight};ordinaries:[{ordinary:bordure;t:sable}];shield:spanish},https://watabou.github.io/city-generator/?name=Laudirnes&population=1415&size=15&seed=8820546000554&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
555,Balvalur,Hvolsda,Hvolsda Province,Varkeldov,Varkeldov Kingdom,Ulvshofn,Mystra,cities,2913,533.429443359375,530.7391357421875,-48.86,-39.13,676,6°C,Stockholm (Sweden),,,,,,,,{t1:argent;charges:[{charge:fasces;t:sable;p:e;t2:sable;t3:purpure;size:1.5}];shield:spanish},https://watabou.github.io/city-generator/?name=Balvalur&population=2913&size=19&seed=8820546000555&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
556,Raurey,Hvolsda,Hvolsda Province,Varkeldov,Varkeldov Kingdom,Ulvshofn,Mystra,cities,1710,547.7329711914062,544.0360107421875,-52.34,-35.39,1369,0°C,Murmansk (Russia),,,,,,,,{t1:gules;ordinaries:[{ordinary:canton;t:argent}];charges:[{charge:anchor;t:argent;p:beh;size:0.5}];shield:spanish},https://watabou.github.io/city-generator/?name=Raurey&population=1710&size=16&seed=8820546000556&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
557,Skonland,Hvolsda,Hvolsda Province,Varkeldov,Varkeldov Kingdom,Ulvshofn,Mystra,cities,21478,561.7673950195312,543.467041015625,-52.19,-31.72,324,7°C,Montreal (Canada),capital,,citadel,walls,plaza,temple,,{t1:sable;charges:[{charge:crossMaltese;t:or;p:jeo;size:0.5}];shield:spanish},https://watabou.github.io/city-generator/?name=Skonland&population=21478&size=41&seed=8820546000557&river=0&coast=0&farms=0&citadel=1&urban_castle=0&hub=0&plaza=1&greens=1&temple=1&walls=1&shantytown=0&style=natural
558,Karlvik,Hvolsda,Hvolsda Province,Varkeldov,Varkeldov Kingdom,Ulvshofn,Mystra,cities,2997,576.3707275390625,530.1912231445312,-48.71,-27.9,400,6°C,Stockholm (Sweden),,,,,,,,{t1:gules;ordinaries:[{ordinary:fess;t:or;line:embattled}];charges:[{charge:ouroboros;t:gules;p:def;size:0.5}];shield:spanish},https://watabou.github.io/city-generator/?name=Karlvik&population=2997&size=20&seed=8820546000558&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
559,Helsogur,Hvolsda,Hvolsda Province,Varkeldov,Varkeldov Kingdom,Ulvshofn,Mystra,cities,3113,579.215576171875,517.4844360351562,-45.39,-27.15,144,11°C,Antwerp (Belgium),,,,,,,,{t1:purpure;division:{division:gyronny;t:fretty-gules-argent};charges:[{charge:rustre;t:or;p:abc;divided:counter;size:0.5}];shield:spanish},https://watabou.github.io/city-generator/?name=Helsogur&population=3113&size=20&seed=8820546000559&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
560,Orskor,Hvolsda,Hvolsda Province,Varkeldov,Varkeldov Kingdom,Ulvshofn,Mystra,cities,5470,493.87115478515625,526.3981323242188,-47.72,-49.48,484,9°C,Copenhagen (Denmark),,,,,,,,{t1:fusily-or-gules;charges:[{charge:crescent;t:vert;p:e;size:1.5}];shield:spanish},https://watabou.github.io/city-generator/?name=Orskor&population=5470&size=25&seed=8820546000560&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
561,Jarnsda,Hvolsda,Hvolsda Province,Varkeldov,Varkeldov Kingdom,Ulvshofn,Mystra,cities,4025,505.8193664550781,509.7085876464844,-43.35,-46.36,361,13°C,Milan (Italy),,,,,,,,{t1:argent;charges:[{charge:wolfHeadErased;t:azure;p:e;t2:azure;size:1.5}];shield:spanish},https://watabou.github.io/city-generator/?name=Jarnsda&population=4025&size=22&seed=8820546000561&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
562,Raschweitern,Schapfheimia,Schapfheimia Province,Nosland,United Kingdom of Nosland,Weisin,Mystra,cities,1132,546.843994140625,280.86968994140625,16.52,-35.62,361,25°C,Miami (USA),,,,,,,,{t1:purpure;charges:[{charge:wolfHeadErased;t:argent;p:e;t2:argent;size:1.5}];shield:pavise},https://watabou.github.io/city-generator/?name=Raschweitern&population=1132&size=14&seed=8820546000562&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
563,Durtaltens,Schapfheimia,Schapfheimia Province,Nosland,United Kingdom of Nosland,Weisin,Mystra,cities,514,545.5927734375,289.1279602050781,14.36,-35.95,100,26°C,Jakarta (Indonesia),,,,,,,,{t1:or;division:{division:perCross;t:azure;line:straight};charges:[{charge:billet;t:purpure;p:j;size:0.6};{charge:bugleHorn2;t:or;p:l;size:0.6};{charge:donkeyHeadCaboshed;t:or;p:m;size:0.6};{charge:scaleImbalanced;t:azure;p:o;size:0.6}];shield:pavise},https://watabou.github.io/city-generator/?name=Durtaltens&population=514&size=10&seed=8820546000563&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
564,Durheim,Schapfheimia,Schapfheimia Province,Nosland,United Kingdom of Nosland,Weisin,Mystra,cities,45078,534.5817260742188,283.6224670410156,15.8,-38.83,225,26°C,Jakarta (Indonesia),capital,,citadel,walls,plaza,temple,,{t1:gules;charges:[{charge:pegasus;t:or;p:e;t2:or;t3:or;size:1.5}];shield:pavise},https://watabou.github.io/city-generator/?name=Durheim&population=45078&size=55&seed=8820546000564&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=0&plaza=1&greens=1&temple=1&walls=1&shantytown=0&style=natural
565,Osinheimin,Schapfheimia,Schapfheimia Province,Nosland,United Kingdom of Nosland,Weisin,Pelor,cities,1929,527.07421875,277.86669921875,17.3,-40.8,256,25°C,Miami (USA),,,,,,,,{t1:or;charges:[{charge:scale;t:gules;p:abc;t2:sable;size:0.5}];shield:pavise},https://watabou.github.io/city-generator/?name=Osinheimin&population=1929&size=17&seed=8820546000565&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
